i,perc,n,acc,cor,alpha
8,0.6684210526315789,4117,0.5563380281690141,0.4178709772734922,0.40562961045683976
8,0.7157894736842105,4314,0.5387323943661971,0.36875939843908345,0.35897633546596774
8,0.7631578947368421,4585,0.5316901408450704,0.34516561302944954,0.33807582577427076
8,0.8105263157894737,4856,0.5492957746478874,0.35457780171166314,0.344152864924944
8,0.8578947368421053,5157,0.5633802816901409,0.4254589157354917,0.4129675165005825
8,0.9052631578947369,5480,0.5633802816901409,0.36973206742815873,0.3588086668260626
8,0.9526315789473684,5744,0.5809859154929577,0.43578403218052403,0.4251122544728606
8,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
9,0.1,604,0.4225352112676056,0.21627782296288275,0.19646076794657752
9,0.1473684210526316,885,0.45422535211267606,0.1414406480414011,0.13482206830666355
9,0.19473684210526315,1099,0.4894366197183099,0.2535845088826217,0.24309221780225532
9,0.24210526315789474,1423,0.5070422535211268,0.26583627496624124,0.255964097315172
9,0.2894736842105263,1716,0.4647887323943662,0.26456978857166397,0.2529745735086385
9,0.33684210526315794,2112,0.5211267605633803,0.3622162477505862,0.3454940806958202
9,0.38421052631578945,2355,0.5140845070422535,0.2719590448211232,0.25878377925412466
9,0.43157894736842106,2632,0.5105633802816901,0.38408304302661495,0.36948182266820206
9,0.4789473684210527,2887,0.5704225352112676,0.4366675430534871,0.41658769055806777
9,0.5263157894736842,3196,0.4964788732394366,0.22491869418347876,0.21324262427589924
9,0.5736842105263158,3442,0.5422535211267606,0.3028427213118663,0.29097985194893783
9,0.6210526315789474,3799,0.5387323943661971,0.32301389050799967,0.31423057128152343
9,0.6684210526315789,4051,0.545774647887324,0.3836667929375443,0.37259547759113265
9,0.7157894736842105,4310,0.5387323943661971,0.3957036444332629,0.38006346835915616
9,0.7631578947368421,4654,0.545774647887324,0.38755788739651775,0.3749508441905892
9,0.8105263157894737,4897,0.5669014084507042,0.4103547133349034,0.3997921358046077
9,0.8578947368421053,5151,0.5598591549295775,0.395939299778172,0.38259860335013407
9,0.9052631578947369,5474,0.5563380281690141,0.40201275096680744,0.3916309012875536
9,0.9526315789473684,5736,0.5704225352112676,0.4149451462625396,0.4064687999498543
9,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
10,0.1,619,0.45422535211267606,0.2786879456591981,0.23461123110151183
10,0.1473684210526316,912,0.4507042253521127,0.15143404119021917,0.13739820421799953
10,0.19473684210526315,1116,0.4612676056338028,0.1895769403011083,0.1800490304098723
10,0.24210526315789474,1503,0.46830985915492956,0.22340072984053871,0.21094319009468332
10,0.2894736842105263,1730,0.4753521126760563,0.24589464573598313,0.23413577241904182
10,0.33684210526315794,2002,0.49295774647887325,0.3041307604859718,0.2883081520836792
10,0.38421052631578945,2361,0.5105633802816901,0.2973721294205496,0.2844339463472245
10,0.43157894736842106,2611,0.5352112676056338,0.27959770486567853,0.2723452440865627
10,0.4789473684210527,2892,0.545774647887324,0.35194652349545474,0.33606996606222594
10,0.5263157894736842,3211,0.49295774647887325,0.27635407693366837,0.26260359556292223
10,0.5736842105263158,3418,0.5387323943661971,0.3931315037546717,0.3834433527786306
10,0.6210526315789474,3780,0.5105633802816901,0.2718832225870894,0.26179120296767366
